Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
F150,2012,Saudi,Black,Standard,3.0,Gas,Automatic,352000,Riyadh,38000
Land Cruiser,2003,Saudi,Golden,Full,4.5,Gas,Automatic,629000,Riyadh,40000
Maxima,2017,Saudi,White,Full,1.0,Gas,Automatic,135000,Riyadh,73000
Land Cruiser,2014,Saudi,White,Full,4.0,Gas,Automatic,210600,Riyadh,120000
Sonata,2016,Saudi,Brown,Full,2.0,Gas,Automatic,104000,Riyadh,58000
Explorer,2016,Gulf Arabic,Silver,Semi Full,2.3,Gas,Automatic,112000,Riyadh,83000
Genesis,2017,Other,Blue,Standard,3.8,Gas,Automatic,128000,Riyadh,83000
Corolla,2015,Saudi,White,Semi Full,1.6,Gas,Automatic,370000,Riyadh,30000
Accord,2017,Saudi,Navy,Semi Full,2.4,Gas,Automatic,223000,Riyadh,75000
Cerato,2017,Saudi,White,Standard,1.6,Gas,Automatic,72000,Riyadh,37500
Taurus,2018,Saudi,White,Standard,2.0,Gas,Automatic,71000,Riyadh,77000
NX,2017,Gulf Arabic,Black,Full,2.0,Gas,Automatic,63000,Dammam,174000
Elantra,2019,Saudi,White,Semi Full,1.6,Gas,Automatic,59700,Dammam,54500
Senta fe,2020,Saudi,Grey,Standard,2.4,Gas,Automatic,93000,Riyadh,82000
C,2015,Saudi,Silver,Semi Full,2.0,Gas,Automatic,73000,Riyadh,90000
Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,96341,Riyadh,26000
Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,87775,Riyadh,26000
Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,89136,Riyadh,26000
Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,71913,Riyadh,26500
RX5,2019,Saudi,White,Full,1.5,Gas,Automatic,39000,Jeddah,56000
G70,2019,Saudi,Grey,Semi Full,2.0,Gas,Automatic,11000,Riyadh,109000
Flex,2012,Saudi,Silver,Semi Full,3.5,Gas,Automatic,277000,Dammam,30000
Yukon,2015,Saudi,White,Full,5.3,Gas,Automatic,200000,Dammam,150000
Yukon,2016,Other,White,Full,6.2,Gas,Automatic,126000,Riyadh,176000
UX,2019,Gulf Arabic,Blue,Full,2.0,Gas,Automatic,7000,Dammam,165000
Camry,2016,Saudi,White,Semi Full,2.5,Gas,Automatic,238000,Jeddah,48500
C,2016,Other,White,Full,2.0,Gas,Automatic,84000,Dammam,129000
Yaris,2015,Saudi,White,Standard,1.4,Gas,Automatic,193000,Dammam,25000
S,2015,Other,Navy,Full,3.0,Gas,Automatic,46000,Dammam,210000
Picanto,2015,Saudi,Another Color,Standard,1.0,Gas,Automatic,136000,Al-Medina,18500
Yukon,2008,Saudi,White,Full,5.3,Gas,Automatic,200000,Jeddah,38000
Sonata,2018,Saudi,Grey,Standard,2.4,Gas,Automatic,55000,Riyadh,60000
Cores,2014,Saudi,White,Full,3.5,Gas,Automatic,81000,Jeddah,78000
Accord,2018,Saudi,White,Semi Full,1.6,Gas,Automatic,32000,Jeddah,97000
Camry,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,97000,Dammam,68000
Tahoe,2019,Saudi,Black,Standard,5.3,Gas,Automatic,117000,Riyadh,145000
Kona,2019,Saudi,Black,Standard,2.0,Gas,Automatic,76000,Jeddah,56000
Creta,2017,Saudi,Silver,Semi Full,1.6,Gas,Automatic,125000,Al-Ahsa,57000
Impala,2018,Saudi,Silver,Standard,3.6,Gas,Automatic,75000,Riyadh,64000
Yukon,2011,Saudi,White,Full,8.0,Gas,Automatic,200,Taef,70000
Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,88795,Riyadh,26500
Rio,2016,Saudi,Grey,Standard,1.4,Gas,Automatic,272232,Riyadh,26500
Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,145161,Riyadh,27000
Sunny,2018,Saudi,Grey,Standard,1.5,Gas,Automatic,117081,Riyadh,27000
Odyssey,2015,Saudi,Grey,Standard,3.5,Gas,Automatic,192000,Dammam,58000
6,2014,Other,Black,Full,2.5,Gas,Manual,201000,Riyadh,42000
Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,39000,Riyadh,131500
Sylvian Bus,2018,Saudi,White,Full,3.0,Gas,Manual,3000,Riyadh,107000
Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,86000,Riyadh,127000
LX,2018,Saudi,White,Full,1.0,Gas,Automatic,105000,Riyadh,355000
Range Rover,2014,Saudi,White,Full,3.3333333333333335,Gas,Automatic,131000,Riyadh,230000
H1,2015,Saudi,Black,Semi Full,2.7,Gas,Automatic,131000,Al-Medina,42000
S,2015,Other,Black,Full,2.8666666666666667,Gas,Automatic,109000,Riyadh,199000
Camry,2019,Saudi,Black,Full,2.5,Gas,Automatic,13000,Riyadh,94000
Camry,2020,Saudi,Brown,Standard,2.5,Gas,Automatic,37000,Riyadh,80000
Hilux,2014,Saudi,White,Standard,2.5,Gas,Manual,125000,Riyadh,40000
Taurus,2019,Saudi,Black,Standard,2.0,Gas,Automatic,49000,Riyadh,82000
Camry,2019,Saudi,Black,Standard,2.5,Gas,Automatic,48000,Riyadh,80000
Sonata,2018,Saudi,White,Semi Full,2.0,Gas,Automatic,116000,Riyadh,55000
Expedition,2013,Saudi,White,Standard,5.4,Gas,Automatic,235000,Riyadh,50000
Patrol,2015,Saudi,Another Color,Full,5.6,Gas,Automatic,228000,Riyadh,130000
Ciocca,2009,Saudi,Grey,Full,5.7,Gas,Automatic,343000,Riyadh,60000
Tahoe,2015,Saudi,Silver,Standard,5.3,Gas,Automatic,233000,Riyadh,98000
Land Cruiser Pickup,2018,Saudi,Another Color,Standard,4.0,Gas,Manual,98000,Riyadh,105000
G80,2019,Saudi,Another Color,Semi Full,3.3,Gas,Automatic,50000,Riyadh,125000
Cressida,1996,Saudi,White,Semi Full,1.5,Gas,Manual,8000,Aseer,13000
LX,2018,Gulf Arabic,Golden,Full,7.5,Gas,Automatic,122000,Taef,340000
Duster,2017,Saudi,White,Standard,2.0,Gas,Automatic,49597,Riyadh,27500
Seven,2020,Saudi,Silver,Standard,1.5,Gas,Automatic,37644,Riyadh,27500
Seven,2020,Saudi,White,Standard,1.5,Gas,Automatic,55531,Riyadh,27500
Seven,2020,Saudi,Silver,Standard,1.5,Gas,Automatic,49214,Riyadh,27500
GLC,2017,Gulf Arabic,White,Full,2.0,Gas,Manual,143000,Riyadh,155000
Impala,2017,Gulf Arabic,Black,Standard,3.5,Gas,Automatic,89000,Riyadh,62000
Carnival,2016,Other,Golden,Semi Full,2.575,Gas,Automatic,118000,Riyadh,59000
Accord,2018,Gulf Arabic,Silver,Semi Full,1.5,Gas,Automatic,38000,Riyadh,87000
Camry,2016,Gulf Arabic,White,Full,2.4,Gas,Automatic,62000,Riyadh,75000
C,2015,Gulf Arabic,White,Semi Full,2.0,Gas,Automatic,173000,Riyadh,108000
EC8,2012,Saudi,Black,Full,2.3,Gas,Automatic,200000,Riyadh,11500
ES,2016,Gulf Arabic,White,Standard,3.5,Gas,Automatic,45000,Riyadh,112000
H6,2020,Saudi,Black,Full,2.0,Gas,Automatic,2000,Jeddah,69000
300,2016,Gulf Arabic,White,Full,3.5,Gas,Automatic,16000,Riyadh,90000
Flex,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,110000,Riyadh,67000
Patrol,2016,Gulf Arabic,Black,Full,4.0,Gas,Automatic,92000,Riyadh,175000
E,2016,Gulf Arabic,White,Full,3.0,Gas,Automatic,114000,Riyadh,106000
FJ,2015,Saudi,White,Full,4.0,Gas,Automatic,259880,Riyadh,89000
Optima,2017,Gulf Arabic,Brown,Standard,2.4,Gas,Automatic,75000,Riyadh,48000
Yukon,2017,Gulf Arabic,Bronze,Semi Full,5.3,Gas,Automatic,96000,Riyadh,145000
The 7,2017,Gulf Arabic,Navy,Full,2.0,Gas,Automatic,87000,Riyadh,175000
Impala,2016,Gulf Arabic,White,Standard,3.5,Gas,Automatic,114000,Riyadh,65000
