,Type,Year,Color,Engine_Size,Mileage,Region,Price,Gear_Type_Encoded,Options_Full,Options_Semi Full,Options_Standard,Origin_Gulf Arabic,Origin_Other,Origin_Saudi,Fuel_Type_Diesel,Fuel_Type_Gas,Fuel_Type_Hybrid
142,0.07407407407407407,0.2016,0.35714285714285715,0.35,0.0088,0.07692307692307693,0.00115,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
143,0.13675213675213677,0.2015,0.2857142857142857,0.2,0.0182,0.07692307692307693,0.00029,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
144,0.17094017094017094,0.2016,0.7142857142857143,0.36,0.0094,0.07692307692307693,0.00106,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
145,0.08547008547008547,0.202,0.14285714285714285,0.38,0.0011,0.0,0.00125,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
146,0.1225071225071225,0.20179999999999998,0.0,0.354,0.01,0.07692307692307693,0.00089,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
147,0.1225071225071225,0.2015,0.0,0.37111111111111106,0.0103,0.07692307692307693,0.00078,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
148,0.07977207977207977,0.20190000000000002,0.2857142857142857,0.1,0.0067,0.0,0.00075,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
149,0.07692307692307693,0.20179999999999998,0.07142857142857142,0.32999999999999996,0.0094,0.0,0.0005499999999999999,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
150,0.005698005698005698,0.20190000000000002,0.14285714285714285,0.2,0.0095,0.0,0.00052,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
151,0.03133903133903134,0.2017,0.14285714285714285,0.13999999999999999,0.0147,0.0,0.00029,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
152,0.1282051282051282,0.2016,0.2857142857142857,0.38,0.014000000000000002,0.0,0.0008799999999999999,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
153,0.05413105413105413,0.2016,0.35714285714285715,0.62,0.0152,0.0,0.00122,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
155,0.002849002849002849,0.2017,0.14285714285714285,0.15,0.0152973,0.0,0.000245,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
156,0.1737891737891738,0.202,0.2857142857142857,0.16,0.0046505,0.0,0.00026,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
157,0.17663817663817663,0.2015,0.14285714285714285,0.16,0.0116633,0.0,0.00025499999999999996,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
158,0.002849002849002849,0.20179999999999998,0.2857142857142857,0.15,0.0090418,0.0,0.00025499999999999996,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
159,0.1794871794871795,0.20190000000000002,0.5714285714285714,0.25,0.012900000000000002,0.0,0.0006500000000000001,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
160,0.005698005698005698,0.20139999999999997,0.14285714285714285,0.2,0.0119,0.0,0.00033,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
